"TIV of arms exports from all, 1950-2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,12
Kuwait,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,24,,,,4,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,125
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,92,,,18,18,14,,,,,,,4,5,5,214
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,9
Lebanon,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,45,,,,,,,,,,,,,,,,47
Libya,,,,,,,,,,,,,,,,,,,,,,,0,0,,26,4,,8,398,95,107,168,14,54,32,10,14,64,7,36,,,,3,,,3,10,,,,21,16,113,113,18,10,18,32,28,0,,,,,,,1421
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,3
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1
Malaysia,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,6,,,,,,,,,,,,,0,,,,11,,,,,,,,,,0,,,,,,,,,25
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,5,,,15
Mexico,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,36,,,217,,,6,42,60,10,,18,3,19,29,20,,11,,,,,,,483
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,109,,,18,,,,,,,0,198
Morocco,,,,,,,,,,,,,2,,,,,,,6,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Mujahedin (Afghanistan)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
Netherlands,215,58,21,7,77,255,9,8,51,43,36,108,99,79,93,97,79,95,350,111,5,161,143,205,82,64,312,424,356,308,628,813,683,474,366,175,323,483,735,558,416,455,365,455,627,473,499,614,624,350,284,203,233,331,204,505,1146,1213,446,495,371,546,863,367,631,464,471,1167,24007
New Zealand,,,,,,,,,,,,,,,,,,1,1,0,,,0,2,5,3,,,,,,1,2,,10,7,0,,,,,34,4,,3,,,,,1,1,,1,,1,0,,,,,,,75,,,1,12,4,167
Nicaragua,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,72,17,,5,,,,,,,,,,,,,,,,,,,,,,,101
Niger,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,11,12,,,,20,29,5,148,250,88,57,65,212,189,58,4,113,131,137,24,41,47,47,81,55,58,73,162,134,47,20,20,20,20,20,,,,,1,,,,2393
North Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Norway,1,30,,8,,,,,,8,38,,25,55,67,65,80,140,65,53,,8,31,10,,8,8,8,93,161,158,278,68,35,,42,29,54,34,127,85,170,75,51,64,21,4,19,3,5,3,42,92,101,66,6,17,65,118,155,159,151,172,175,164,240,150,134,4291
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,5,,,,,,,,0,,,,,,,,,,,1,,,,,,,,,,,,7,19
Pakistan,,,,,,,,,,,,,,,,,,6,,,,3,,,,,,,,,15,30,30,,,,,,,1,82,3,,,2,,,,,,3,1,9,8,9,24,4,,1,,,,,,,,1,3,233
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,14,,,5,,,,,,,,,,,,,,73
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,5
Poland,,,,,,,,,,28,5,5,12,111,237,234,319,309,288,323,268,274,272,158,232,299,406,382,317,229,207,346,211,115,90,130,265,222,232,20,105,55,56,,131,176,46,21,1,64,48,81,56,81,47,18,282,163,73,75,28,8,24,142,24,11,4,3,8372
Portugal,,,,,,,,,,,,,,,,,,2,,,,3,,5,11,105,21,,4,4,2,,,1,,,1,1,,71,,,,1,,,,,,,,,,,,,,,99,46,,0,0,,18,7,172,56,630
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,9,,,,,,,2,,,,,0,,,,,,,51
Romania,,,,,,,,,,,,,,,,,,,,,,6,9,9,1,,,,27,44,48,30,91,101,173,99,28,35,52,25,7,5,14,16,29,9,4,11,2,19,3,,,24,,3,8,32,,2,1,0,108,108,,,,,1180
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2605,3439,1478,3889,3572,3347,2040,4264,4503,5330,5734,5171,6281,5222,5143,5528,6232,4969,6091,8568,8283,7805,5224,5608,6937,6148,133412
Saudi Arabia,,,,,,0,,,,,,,,,,,,4,3,,,,2,,,,0,13,,,,33,,,3,4,,,,,,,,14,,,1,,,,,,,,,,18,,,,1,62,,,,,,,159
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,5,,,,11,,,,,5,5,45,1,31,4,11,11,10,35,23,2,220
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
Singapore,,,,,,,,,,,,,,,,,,,,,,2,,,,17,,,30,72,,15,,25,91,,,81,25,87,44,3,3,11,30,,0,46,23,11,11,,4,,65,,,,,31,24,13,76,1,2,48,47,,936
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,37,97,59,55,10,125,37,53,32,,46,,7,22,8,,,,4,1,8,3,18,22,816
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
South Africa,,,,,,,,,,8,27,33,,,,,,4,,14,3,5,12,1,2,18,16,0,,,39,39,1,,,25,25,28,25,0,,54,75,54,11,17,31,7,22,27,20,37,17,43,72,30,184,126,139,103,235,71,182,96,64,58,65,74,2236
South Korea,,,,,,,,,,,,,,,,,,,,,,,141,,,,,,,105,105,130,65,,126,33,78,,51,48,72,118,,60,7,27,24,21,32,,10,228,,96,73,108,158,279,109,224,197,331,218,347,163,101,585,587,5055
South Vietnam,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
South Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57
Soviet Union,4113,3874,6369,8348,8983,6054,6514,6614,8279,8004,6433,6427,7736,7080,8935,8607,10205,11780,11341,10066,10073,11470,13604,15478,15402,11392,9493,15211,17537,16916,17932,16721,16128,14607,14054,14625,14805,13548,12580,11953,9777,5667,,,,,,,,,,,,,,,,,,,,,,,,,,,454733
Spain,,,,,,,,,,,1,5,6,6,7,21,21,7,7,6,70,140,4,4,84,267,46,25,38,18,10,130,251,352,242,85,177,148,141,174,108,100,65,98,237,82,105,625,162,43,46,8,16,95,52,108,840,601,602,951,263,1429,546,728,1050,1163,507,814,13935
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,8
Sudan,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,16
Sweden,27,46,64,165,21,105,96,111,280,15,38,45,44,13,22,32,56,55,60,36,262,550,138,15,75,122,70,53,54,263,156,130,125,113,224,209,317,233,515,403,231,156,149,103,111,196,349,105,339,389,361,898,163,515,294,532,388,334,452,407,657,692,476,386,335,184,267,83,14910
Switzerland,,,,,,,,,,50,442,500,530,337,379,484,367,261,91,104,18,42,34,54,89,395,480,260,196,446,553,589,454,345,475,316,319,308,318,261,404,432,396,184,133,139,186,118,211,276,178,207,158,184,254,252,294,301,458,228,241,326,229,174,339,437,186,186,16607
Syria,,,,,,,,,,,,,,,,,,,,,14,,,,2,2,,0,,,,,178,46,1,29,31,,15,,,,40,40,,,0,0,,,,,,,,,3,,,20,20,,,,,,,,440
Taiwan,,,,,,,,,,,,,,,,,,12,,,,,154,,,,,,,1,,,,,,,,,,42,6,,,,,,4,5,,,,6,0,,,,,,,16,,,2,,,4,,2,255
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,93,,,,,,,,,,2,2,112
Turkey,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,23,11,,,,,,,,,,,,,,3,3,0,3,43,19,5,26,42,28,23,82,66,111,63,72,86,143,156,165,288,311,244,2018
UAE,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,14,,,,1,,,2,,,,,28,6,32,,,,,,,3,11,17,3,1,34,39,3,,33,30,112,73,72,519
Uganda,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,82,236,167,256,558,708,732,270,511,310,307,199,292,544,631,388,414,479,569,1487,655,651,400,535,240,11785
United Kingdom,2307,3402,3244,4621,5144,4762,5966,4994,3989,3416,2147,1174,1115,1297,1405,1473,1340,1976,1617,1761,887,2144,2364,2751,2337,2335,2434,2128,2141,1451,1638,2333,2525,2514,2532,2121,1968,3587,2551,3549,1867,1523,1180,1421,1539,1475,1662,2386,1413,1368,1623,1377,1090,744,1206,1060,987,974,967,1050,1151,1025,899,1580,1645,1149,1365,1214,140377
United Nations**,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
United States,1742,4737,6414,8907,5939,6591,8382,8747,9686,7531,6055,6338,5964,8944,12235,11155,8404,7256,8447,11762,9007,11723,10787,12025,12251,16157,15738,14431,14068,9719,10730,13611,14015,13939,11887,10801,11683,12258,11884,11344,10732,12515,14132,13847,11523,11216,10891,14552,15728,11568,7605,5693,4967,5670,6850,6777,7512,7866,6828,6912,8063,9087,9122,7660,9656,10048,10304,12394,673017
Unknown supplier(s),23,12,,,,2,17,17,17,17,17,19,5,1,1,14,1,14,,0,,3,12,4,7,15,7,1,12,31,30,42,21,9,2,7,41,2,8,6,10,9,3,38,53,1,75,10,3,2,11,21,21,5,6,42,2,0,35,13,28,3,14,10,26,9,21,7,915
Uruguay,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,7
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,126,4,,,,209,209,209,,,,34,68,,1111
Venezuela,,,,,,,,,,,,,,,,,,,,17,,,,,,13,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,1,,7,,3,40,,,,,,,,,80
Viet Nam,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,14
Yugoslavia,,,,,,,17,,71,,6,,,,23,31,,,,21,3,23,,35,,14,41,75,53,33,112,102,24,47,71,94,8,2,16,18,80,515,32,,,,,,,,,,,,,,,,,,,,,,,,,,1565
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Zimbabwe,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,8633,12419,16504,22504,20933,19839,24027,23381,25898,21497,17487,16498,17471,19937,26357,24949,24769,25478,26103,28457,25639,32780,34391,35884,36287,37533,35284,39780,42869,38119,41860,45229,45727,43985,41611,38372,39176,39589,36828,35291,30060,28239,24129,25775,22853,22942,23911,28873,27791,25236,19387,18882,17913,19070,21386,21593,24815,26680,24145,24234,25691,30006,28289,26954,26780,28522,32262,31106,1896897
